2017-02-01 11:34:11,405 | INFO  | Initializing connection to server 192.168.1.38 port 5222 | root | main
2017-02-01 11:34:12,721 | INFO  | Connected: true | root | main
2017-02-01 11:34:12,743 | INFO  | Before login userName [ test ] password [ 123456 ] | root | main
2017-02-01 11:34:12,823 | INFO  | Creating entry for buddy 'test' with name test | root | main
2017-02-01 11:34:12,860 | INFO  | Sending mesage 'Hello mate from test 0' to user test2 | root | main
2017-02-01 11:34:12,870 | INFO  | Sending mesage 'Hello mate from test 1' to user test2 | root | main
2017-02-01 11:34:12,874 | INFO  | Sending mesage 'Hello mate from test 2' to user test2 | root | main
2017-02-01 11:34:12,874 | INFO  | Sending mesage 'Hello mate from test 3' to user test2 | root | main
2017-02-01 11:34:12,875 | INFO  | Sending mesage 'Hello mate from test 4' to user test2 | root | main
2017-02-01 11:34:12,875 | INFO  | Sending mesage 'Hello mate from test 5' to user test2 | root | main
2017-02-01 11:34:12,876 | INFO  | Sending mesage 'Hello mate from test 6' to user test2 | root | main
2017-02-01 11:34:12,876 | INFO  | Sending mesage 'Hello mate from test 7' to user test2 | root | main
2017-02-01 11:34:12,877 | INFO  | Sending mesage 'Hello mate from test 8' to user test2 | root | main
2017-02-01 11:34:12,878 | INFO  | Sending mesage 'Hello mate from test 9' to user test2 | root | main
2017-02-01 11:34:36,093 | INFO  | Connected [ true | root | main
2017-02-01 11:37:54,255 | INFO  | Connected [ true ] | root | main
2017-02-01 13:35:43,067 | INFO  | Initializing connection to server 192.168.1.38 port 5222 | root | main
2017-02-01 13:35:44,189 | INFO  | Connected: true | root | main
2017-02-01 13:35:44,206 | INFO  | Before login userName [ test ] password [ 123456 ] | root | main
2017-02-01 13:35:44,269 | INFO  | Creating entry for buddy 'test2@email.com' with name test | root | main
2017-02-01 13:35:44,289 | INFO  | Sending mesage 'Hello mate from test 0' to user test2 | root | main
2017-02-01 13:35:44,294 | INFO  | Sending mesage 'Hello mate from test 1' to user test2 | root | main
2017-02-01 13:35:44,295 | INFO  | Sending mesage 'Hello mate from test 2' to user test2 | root | main
2017-02-01 13:35:44,296 | INFO  | Sending mesage 'Hello mate from test 3' to user test2 | root | main
2017-02-01 13:35:44,297 | INFO  | Sending mesage 'Hello mate from test 4' to user test2 | root | main
2017-02-01 13:35:44,297 | INFO  | Sending mesage 'Hello mate from test 5' to user test2 | root | main
2017-02-01 13:35:44,298 | INFO  | Sending mesage 'Hello mate from test 6' to user test2 | root | main
2017-02-01 13:35:44,298 | INFO  | Sending mesage 'Hello mate from test 7' to user test2 | root | main
2017-02-01 13:35:44,298 | INFO  | Sending mesage 'Hello mate from test 8' to user test2 | root | main
2017-02-01 13:35:44,299 | INFO  | Sending mesage 'Hello mate from test 9' to user test2 | root | main
2017-02-01 13:35:53,067 | INFO  | Connected [ true ] | root | main
2017-02-01 13:35:57,096 | INFO  | Initializing connection to server 192.168.1.38 port 5222 | root | main
2017-02-01 13:35:58,039 | INFO  | Connected: true | root | main
2017-02-01 13:35:58,050 | INFO  | Before login userName [ test ] password [ 123456 ] | root | main
2017-02-01 13:35:58,103 | INFO  | Creating entry for buddy 'test2@email.com' with name test | root | main
2017-02-01 13:35:58,120 | INFO  | Sending mesage 'Hello mate from test 0' to user test2 | root | main
2017-02-01 13:35:58,124 | INFO  | Sending mesage 'Hello mate from test 1' to user test2 | root | main
2017-02-01 13:35:58,125 | INFO  | Sending mesage 'Hello mate from test 2' to user test2 | root | main
2017-02-01 13:35:58,125 | INFO  | Sending mesage 'Hello mate from test 3' to user test2 | root | main
2017-02-01 13:35:58,125 | INFO  | Sending mesage 'Hello mate from test 4' to user test2 | root | main
2017-02-01 13:35:58,126 | INFO  | Sending mesage 'Hello mate from test 5' to user test2 | root | main
2017-02-01 13:35:58,126 | INFO  | Sending mesage 'Hello mate from test 6' to user test2 | root | main
2017-02-01 13:35:58,126 | INFO  | Sending mesage 'Hello mate from test 7' to user test2 | root | main
2017-02-01 13:35:58,127 | INFO  | Sending mesage 'Hello mate from test 8' to user test2 | root | main
2017-02-01 13:35:58,127 | INFO  | Sending mesage 'Hello mate from test 9' to user test2 | root | main
2017-02-01 13:37:01,922 | INFO  | Initializing connection to server 192.168.1.38 port 5222 | root | main
2017-02-01 13:37:07,399 | INFO  | Connected [ true ] | root | main
2017-02-01 13:37:09,098 | INFO  | Initializing connection to server 192.168.1.38 port 5222 | root | main
2017-02-01 13:37:10,222 | INFO  | Connected: true | root | main
2017-02-01 13:37:10,242 | INFO  | Before login userName [ test ] password [ 123456 ] | root | main
2017-02-01 13:37:10,300 | INFO  | Creating entry for buddy 'test2@192.168.1.38' with name test | root | main
2017-02-01 13:37:10,316 | INFO  | Sending mesage 'Hello mate from test 0' to user test2 | root | main
2017-02-01 13:37:10,354 | INFO  | Sending mesage 'Hello mate from test 1' to user test2 | root | main
2017-02-01 13:37:10,357 | INFO  | Sending mesage 'Hello mate from test 2' to user test2 | root | main
2017-02-01 13:37:10,359 | INFO  | Sending mesage 'Hello mate from test 3' to user test2 | root | main
2017-02-01 13:37:10,359 | INFO  | Sending mesage 'Hello mate from test 4' to user test2 | root | main
2017-02-01 13:37:10,360 | INFO  | Sending mesage 'Hello mate from test 5' to user test2 | root | main
2017-02-01 13:37:10,361 | INFO  | Sending mesage 'Hello mate from test 6' to user test2 | root | main
2017-02-01 13:37:10,361 | INFO  | Sending mesage 'Hello mate from test 7' to user test2 | root | main
2017-02-01 13:37:10,362 | INFO  | Sending mesage 'Hello mate from test 8' to user test2 | root | main
2017-02-01 13:37:10,363 | INFO  | Sending mesage 'Hello mate from test 9' to user test2 | root | main
2017-02-01 13:39:46,645 | INFO  | Initializing connection to server 192.168.1.38 port 5222 | root | main
2017-02-01 13:39:48,152 | INFO  | Connected: true | root | main
2017-02-01 13:39:48,167 | INFO  | Before login userName [ test ] password [ 123456 ] | root | main
2017-02-01 13:39:48,245 | INFO  | Creating entry for buddy 'test2@ef-app2' with name test | root | main
2017-02-01 13:39:48,279 | INFO  | Sending mesage 'Hello mate from test 0' to user test2 | root | main
2017-02-01 13:39:48,285 | INFO  | Sending mesage 'Hello mate from test 1' to user test2 | root | main
